f1,f2,f3,f4,f5,dangerous,trial,sequence,sim_response,correct,performance,c,w,agent,subject
1,1,1,1,0,1,1,1,1,1,1,1,equal,equal_c1,1
1,1,1,1,1,1,2,2,0,0,0.5,1,equal,equal_c1,1
0,0,1,1,1,0,3,3,0,1,0.6666666666666666,1,equal,equal_c1,1
1,1,1,0,1,1,4,4,1,1,0.75,1,equal,equal_c1,1
1,0,1,0,1,1,5,5,1,1,0.8,1,equal,equal_c1,1
1,1,1,1,1,1,6,6,0,0,0.6666666666666666,1,equal,equal_c1,1
1,1,1,1,1,1,7,7,0,0,0.5714285714285714,1,equal,equal_c1,1
0,1,0,1,1,0,8,8,0,1,0.625,1,equal,equal_c1,1
1,0,0,1,1,0,9,9,0,1,0.6666666666666666,1,equal,equal_c1,1
1,0,1,0,1,1,10,10,0,0,0.6,1,equal,equal_c1,1
1,0,1,1,0,1,11,11,0,0,0.5454545454545454,1,equal,equal_c1,1
1,1,0,1,1,0,12,12,0,1,0.5833333333333334,1,equal,equal_c1,1
1,1,1,1,0,1,13,13,0,0,0.5384615384615384,1,equal,equal_c1,1
0,0,1,0,0,0,14,14,1,0,0.5,1,equal,equal_c1,1
1,1,0,1,1,0,15,15,1,0,0.4666666666666667,1,equal,equal_c1,1
0,1,1,1,0,0,16,16,1,0,0.4375,1,equal,equal_c1,1
0,0,1,0,1,0,17,17,0,1,0.47058823529411764,1,equal,equal_c1,1
0,0,1,1,1,0,18,18,0,1,0.5,1,equal,equal_c1,1
0,0,0,1,0,0,19,19,0,1,0.5263157894736842,1,equal,equal_c1,1
0,0,0,1,1,0,20,20,1,0,0.5,1,equal,equal_c1,1
1,1,1,0,0,1,21,21,1,1,0.5238095238095238,1,equal,equal_c1,1
0,1,1,0,0,0,22,22,0,1,0.5454545454545454,1,equal,equal_c1,1
1,0,1,1,1,1,23,23,1,1,0.5652173913043478,1,equal,equal_c1,1
1,1,0,1,0,0,24,24,0,1,0.5833333333333334,1,equal,equal_c1,1
1,0,1,1,0,1,25,25,1,1,0.6,1,equal,equal_c1,1
0,1,0,1,0,0,26,26,1,0,0.5769230769230769,1,equal,equal_c1,1
1,0,1,1,1,1,27,27,0,0,0.5555555555555556,1,equal,equal_c1,1
1,0,1,0,1,1,28,28,1,1,0.5714285714285714,1,equal,equal_c1,1
0,0,1,1,0,0,29,29,1,0,0.5517241379310345,1,equal,equal_c1,1
1,0,1,0,0,1,30,30,0,0,0.5333333333333333,1,equal,equal_c1,1
1,1,1,1,1,1,31,31,0,0,0.5161290322580645,1,equal,equal_c1,1
0,1,0,0,1,0,32,32,1,0,0.5,1,equal,equal_c1,1
0,0,0,1,1,0,33,33,1,0,0.48484848484848486,1,equal,equal_c1,1
0,1,0,0,1,0,34,34,0,1,0.5,1,equal,equal_c1,1
1,0,1,1,0,1,35,35,1,1,0.5142857142857142,1,equal,equal_c1,1
0,1,0,1,1,0,36,36,0,1,0.5277777777777778,1,equal,equal_c1,1
1,1,0,1,1,0,37,37,1,0,0.5135135135135135,1,equal,equal_c1,1
0,0,1,1,0,0,38,38,0,1,0.5263157894736842,1,equal,equal_c1,1
1,0,1,0,1,1,39,39,0,0,0.5128205128205128,1,equal,equal_c1,1
1,1,1,1,0,1,40,40,1,1,0.525,1,equal,equal_c1,1
1,1,1,0,0,1,41,41,1,1,0.5365853658536586,1,equal,equal_c1,1
0,0,1,1,1,0,42,42,1,0,0.5238095238095238,1,equal,equal_c1,1
1,0,0,1,1,0,43,43,0,1,0.5348837209302325,1,equal,equal_c1,1
1,1,0,1,1,0,44,44,0,1,0.5454545454545454,1,equal,equal_c1,1
0,0,1,0,1,0,45,45,1,0,0.5333333333333333,1,equal,equal_c1,1
1,1,1,1,0,1,46,46,0,0,0.5217391304347826,1,equal,equal_c1,1
0,1,1,1,0,0,47,47,1,0,0.5106382978723404,1,equal,equal_c1,1
1,0,1,1,0,1,48,48,0,0,0.5,1,equal,equal_c1,1
0,0,0,1,0,0,49,49,0,1,0.5102040816326531,1,equal,equal_c1,1
1,0,1,0,1,1,50,50,0,0,0.5,1,equal,equal_c1,1
1,1,1,1,1,1,51,51,0,0,0.49019607843137253,1,equal,equal_c1,1
1,1,1,1,1,1,52,52,1,1,0.5,1,equal,equal_c1,1
1,1,1,1,1,1,53,53,1,1,0.5094339622641509,1,equal,equal_c1,1
1,0,1,1,1,1,54,54,1,1,0.5185185185185185,1,equal,equal_c1,1
1,1,1,0,1,1,55,55,0,0,0.509090909090909,1,equal,equal_c1,1
0,0,1,0,0,0,56,56,0,1,0.5178571428571429,1,equal,equal_c1,1
1,1,1,1,1,1,57,57,1,1,0.5263157894736842,1,equal,equal_c1,1
1,0,1,0,1,1,58,58,1,1,0.5344827586206896,1,equal,equal_c1,1
1,0,1,1,1,1,59,59,1,1,0.5423728813559322,1,equal,equal_c1,1
1,1,0,1,0,0,60,60,0,1,0.55,1,equal,equal_c1,1
0,1,0,1,0,0,61,61,0,1,0.5573770491803278,1,equal,equal_c1,1
0,0,1,1,1,0,62,62,0,1,0.5645161290322581,1,equal,equal_c1,1
1,0,1,0,0,1,63,63,1,1,0.5714285714285714,1,equal,equal_c1,1
0,1,1,0,0,0,64,64,0,1,0.578125,1,equal,equal_c1,1
1,1,1,1,0,1,65,65,1,1,0.5846153846153846,1,equal,equal_c1,1
1,1,1,1,0,1,66,66,0,0,0.5757575757575758,1,equal,equal_c1,1
1,0,1,0,0,1,67,67,1,1,0.582089552238806,1,equal,equal_c1,1
1,0,1,0,1,1,68,68,0,0,0.5735294117647058,1,equal,equal_c1,1
1,1,1,1,1,1,69,69,1,1,0.5797101449275363,1,equal,equal_c1,1
1,0,1,0,1,1,70,70,0,0,0.5714285714285714,1,equal,equal_c1,1
0,0,1,1,1,0,71,71,1,0,0.5633802816901409,1,equal,equal_c1,1
1,1,1,0,0,1,72,72,1,1,0.5694444444444444,1,equal,equal_c1,1
0,0,1,1,0,0,73,73,1,0,0.5616438356164384,1,equal,equal_c1,1
1,0,0,1,1,0,74,74,0,1,0.5675675675675675,1,equal,equal_c1,1
1,0,1,1,0,1,75,75,1,1,0.5733333333333334,1,equal,equal_c1,1
0,0,1,1,1,0,76,76,1,0,0.5657894736842105,1,equal,equal_c1,1
1,1,0,1,1,0,77,77,0,1,0.5714285714285714,1,equal,equal_c1,1
1,1,1,1,1,1,78,78,0,0,0.5641025641025641,1,equal,equal_c1,1
1,0,1,1,0,1,79,79,0,0,0.5569620253164557,1,equal,equal_c1,1
0,1,0,0,1,0,80,80,1,0,0.55,1,equal,equal_c1,1
1,0,1,1,1,1,81,81,0,0,0.5432098765432098,1,equal,equal_c1,1
0,0,0,1,1,0,82,82,0,1,0.5487804878048781,1,equal,equal_c1,1
1,1,1,0,1,1,83,83,0,0,0.54216867469879515,1,equal,equal_c1,1
1,0,1,0,1,1,84,84,1,1,0.5476190476190477,1,equal,equal_c1,1
1,1,1,1,1,1,85,85,1,1,0.5529411764705883,1,equal,equal_c1,1
1,0,1,1,1,1,86,86,0,0,0.5465116279069767,1,equal,equal_c1,1
0,0,1,0,0,0,87,87,0,1,0.5517241379310345,1,equal,equal_c1,1
0,0,1,0,1,0,88,88,1,0,0.5454545454545454,1,equal,equal_c1,1
0,1,0,1,0,0,89,89,1,0,0.5393258426966292,1,equal,equal_c1,1
0,1,1,1,0,0,90,90,0,1,0.5444444444444444,1,equal,equal_c1,1
0,1,0,1,1,0,91,91,1,0,0.5384615384615384,1,equal,equal_c1,1
