"f1","f2","f3","f4","f5","dangerous","trial","sequence","sim_response","correct","performance","c","w","agent","subject"
1,1,1,1,0,1,1,1,1,1,1,1,"equal","equal_c1",1
1,1,1,1,1,1,2,2,0,0,0.5,1,"equal","equal_c1",1
0,0,1,1,1,0,3,3,0,1,0.666666666666667,1,"equal","equal_c1",1
1,1,1,0,1,1,4,4,1,1,0.75,1,"equal","equal_c1",1
1,0,1,0,1,1,5,5,1,1,0.8,1,"equal","equal_c1",1
1,1,1,1,1,1,6,6,0,0,0.666666666666667,1,"equal","equal_c1",1
1,1,1,1,1,1,7,7,0,0,0.571428571428571,1,"equal","equal_c1",1
0,1,0,1,1,0,8,8,0,1,0.625,1,"equal","equal_c1",1
1,0,0,1,1,0,9,9,0,1,0.666666666666667,1,"equal","equal_c1",1
1,0,1,0,1,1,10,10,0,0,0.6,1,"equal","equal_c1",1
1,0,1,1,0,1,11,11,0,0,0.545454545454545,1,"equal","equal_c1",1
1,1,0,1,1,0,12,12,0,1,0.583333333333333,1,"equal","equal_c1",1
1,1,1,1,0,1,13,13,0,0,0.538461538461538,1,"equal","equal_c1",1
0,0,1,0,0,0,14,14,1,0,0.5,1,"equal","equal_c1",1
1,1,0,1,1,0,15,15,1,0,0.466666666666667,1,"equal","equal_c1",1
0,1,1,1,0,0,16,16,1,0,0.4375,1,"equal","equal_c1",1
0,0,1,0,1,0,17,17,0,1,0.470588235294118,1,"equal","equal_c1",1
0,0,1,1,1,0,18,18,0,1,0.5,1,"equal","equal_c1",1
0,0,0,1,0,0,19,19,0,1,0.526315789473684,1,"equal","equal_c1",1
0,0,0,1,1,0,20,20,1,0,0.5,1,"equal","equal_c1",1
1,1,1,0,0,1,21,21,1,1,0.523809523809524,1,"equal","equal_c1",1
0,1,1,0,0,0,22,22,0,1,0.545454545454545,1,"equal","equal_c1",1
1,0,1,1,1,1,23,23,1,1,0.565217391304348,1,"equal","equal_c1",1
1,1,0,1,0,0,24,24,0,1,0.583333333333333,1,"equal","equal_c1",1
1,0,1,1,0,1,25,25,1,1,0.6,1,"equal","equal_c1",1
0,1,0,1,0,0,26,26,1,0,0.576923076923077,1,"equal","equal_c1",1
1,0,1,1,1,1,27,27,0,0,0.555555555555556,1,"equal","equal_c1",1
1,0,1,0,1,1,28,28,1,1,0.571428571428571,1,"equal","equal_c1",1
0,0,1,1,0,0,29,29,1,0,0.551724137931034,1,"equal","equal_c1",1
1,0,1,0,0,1,30,30,0,0,0.533333333333333,1,"equal","equal_c1",1
1,1,1,1,1,1,31,31,0,0,0.516129032258065,1,"equal","equal_c1",1
0,1,0,0,1,0,32,32,1,0,0.5,1,"equal","equal_c1",1
0,0,0,1,1,0,33,33,1,0,0.484848484848485,1,"equal","equal_c1",1
0,1,0,0,1,0,34,34,0,1,0.5,1,"equal","equal_c1",1
1,0,1,1,0,1,35,35,1,1,0.514285714285714,1,"equal","equal_c1",1
0,1,0,1,1,0,36,36,0,1,0.527777777777778,1,"equal","equal_c1",1
1,1,0,1,1,0,37,37,1,0,0.513513513513513,1,"equal","equal_c1",1
0,0,1,1,0,0,38,38,0,1,0.526315789473684,1,"equal","equal_c1",1
1,0,1,0,1,1,39,39,0,0,0.512820512820513,1,"equal","equal_c1",1
1,1,1,1,0,1,40,40,1,1,0.525,1,"equal","equal_c1",1
1,1,1,0,0,1,41,41,1,1,0.536585365853659,1,"equal","equal_c1",1
0,0,1,1,1,0,42,42,1,0,0.523809523809524,1,"equal","equal_c1",1
1,0,0,1,1,0,43,43,0,1,0.534883720930233,1,"equal","equal_c1",1
1,1,0,1,1,0,44,44,0,1,0.545454545454545,1,"equal","equal_c1",1
0,0,1,0,1,0,45,45,1,0,0.533333333333333,1,"equal","equal_c1",1
1,1,1,1,0,1,46,46,0,0,0.521739130434783,1,"equal","equal_c1",1
0,1,1,1,0,0,47,47,1,0,0.51063829787234,1,"equal","equal_c1",1
1,0,1,1,0,1,48,48,0,0,0.5,1,"equal","equal_c1",1
0,0,0,1,0,0,49,49,0,1,0.510204081632653,1,"equal","equal_c1",1
1,0,1,0,1,1,50,50,0,0,0.5,1,"equal","equal_c1",1
1,1,1,1,1,1,51,51,0,0,0.490196078431373,1,"equal","equal_c1",1
1,1,1,1,1,1,52,52,1,1,0.5,1,"equal","equal_c1",1
1,1,1,1,1,1,53,53,1,1,0.509433962264151,1,"equal","equal_c1",1
1,0,1,1,1,1,54,54,1,1,0.518518518518518,1,"equal","equal_c1",1
1,1,1,0,1,1,55,55,0,0,0.509090909090909,1,"equal","equal_c1",1
0,0,1,0,0,0,56,56,0,1,0.517857142857143,1,"equal","equal_c1",1
1,1,1,1,1,1,57,57,1,1,0.526315789473684,1,"equal","equal_c1",1
1,0,1,0,1,1,58,58,1,1,0.53448275862069,1,"equal","equal_c1",1
1,0,1,1,1,1,59,59,1,1,0.542372881355932,1,"equal","equal_c1",1
1,1,0,1,0,0,60,60,0,1,0.55,1,"equal","equal_c1",1
0,1,0,1,0,0,61,61,0,1,0.557377049180328,1,"equal","equal_c1",1
0,0,1,1,1,0,62,62,0,1,0.564516129032258,1,"equal","equal_c1",1
1,0,1,0,0,1,63,63,1,1,0.571428571428571,1,"equal","equal_c1",1
0,1,1,0,0,0,64,64,0,1,0.578125,1,"equal","equal_c1",1
1,1,1,1,0,1,65,65,1,1,0.584615384615385,1,"equal","equal_c1",1
1,1,1,1,0,1,66,66,0,0,0.575757575757576,1,"equal","equal_c1",1
1,0,1,0,0,1,67,67,1,1,0.582089552238806,1,"equal","equal_c1",1
1,0,1,0,1,1,68,68,0,0,0.573529411764706,1,"equal","equal_c1",1
1,1,1,1,1,1,69,69,1,1,0.579710144927536,1,"equal","equal_c1",1
1,0,1,0,1,1,70,70,0,0,0.571428571428571,1,"equal","equal_c1",1
0,0,1,1,1,0,71,71,1,0,0.563380281690141,1,"equal","equal_c1",1
1,1,1,0,0,1,72,72,1,1,0.569444444444444,1,"equal","equal_c1",1
0,0,1,1,0,0,73,73,1,0,0.561643835616438,1,"equal","equal_c1",1
1,0,0,1,1,0,74,74,0,1,0.567567567567568,1,"equal","equal_c1",1
1,0,1,1,0,1,75,75,1,1,0.573333333333333,1,"equal","equal_c1",1
0,0,1,1,1,0,76,76,1,0,0.565789473684211,1,"equal","equal_c1",1
1,1,0,1,1,0,77,77,0,1,0.571428571428571,1,"equal","equal_c1",1
1,1,1,1,1,1,78,78,0,0,0.564102564102564,1,"equal","equal_c1",1
1,0,1,1,0,1,79,79,0,0,0.556962025316456,1,"equal","equal_c1",1
0,1,0,0,1,0,80,80,1,0,0.55,1,"equal","equal_c1",1
1,0,1,1,1,1,81,81,0,0,0.54320987654321,1,"equal","equal_c1",1
0,0,0,1,1,0,82,82,0,1,0.548780487804878,1,"equal","equal_c1",1
1,1,1,0,1,1,83,83,0,0,0.542168674698795,1,"equal","equal_c1",1
1,0,1,0,1,1,84,84,1,1,0.547619047619048,1,"equal","equal_c1",1
1,1,1,1,1,1,85,85,1,1,0.552941176470588,1,"equal","equal_c1",1
1,0,1,1,1,1,86,86,0,0,0.546511627906977,1,"equal","equal_c1",1
0,0,1,0,0,0,87,87,0,1,0.551724137931034,1,"equal","equal_c1",1
0,0,1,0,1,0,88,88,1,0,0.545454545454545,1,"equal","equal_c1",1
0,1,0,1,0,0,89,89,1,0,0.539325842696629,1,"equal","equal_c1",1
0,1,1,1,0,0,90,90,0,1,0.544444444444444,1,"equal","equal_c1",1
0,1,0,1,1,0,91,91,1,0,0.538461538461538,1,"equal","equal_c1",1
