f1,f2,f3,f4,f5,dangerous,trial,sequence,sim_response,correct,performance,c,w,agent,subject
1,1,1,1,0,1,1,1,0,0,0,1,informed,informed_c1,1
1,1,1,1,1,1,2,2,1,1,0.5,1,informed,informed_c1,1
0,0,1,1,1,0,3,3,1,0,0.3333333333333333,1,informed,informed_c1,1
1,1,1,0,1,1,4,4,1,1,0.5,1,informed,informed_c1,1
1,0,1,0,1,1,5,5,1,1,0.6,1,informed,informed_c1,1
1,1,1,1,1,1,6,6,0,0,0.5,1,informed,informed_c1,1
1,1,1,1,1,1,7,7,0,0,0.42857142857142855,1,informed,informed_c1,1
0,1,0,1,1,0,8,8,1,0,0.375,1,informed,informed_c1,1
1,0,0,1,1,0,9,9,1,0,0.3333333333333333,1,informed,informed_c1,1
1,0,1,0,1,1,10,10,0,0,0.3,1,informed,informed_c1,1
1,0,1,1,0,1,11,11,1,1,0.36363636363636365,1,informed,informed_c1,1
1,1,0,1,1,0,12,12,0,1,0.4166666666666667,1,informed,informed_c1,1
1,1,1,1,0,1,13,13,1,1,0.46153846153846156,1,informed,informed_c1,1
0,0,1,0,0,0,14,14,1,0,0.42857142857142855,1,informed,informed_c1,1
1,1,0,1,1,0,15,15,0,1,0.4666666666666667,1,informed,informed_c1,1
0,1,1,1,0,0,16,16,1,0,0.4375,1,informed,informed_c1,1
0,0,1,0,1,0,17,17,0,1,0.47058823529411764,1,informed,informed_c1,1
0,0,1,1,1,0,18,18,1,0,0.4444444444444444,1,informed,informed_c1,1
0,0,0,1,0,0,19,19,1,0,0.42105263157894735,1,informed,informed_c1,1
0,0,0,1,1,0,20,20,0,1,0.45,1,informed,informed_c1,1
1,1,1,0,0,1,21,21,1,1,0.47619047619047616,1,informed,informed_c1,1
0,1,1,0,0,0,22,22,1,0,0.45454545454545453,1,informed,informed_c1,1
1,0,1,1,1,1,23,23,0,0,0.43478260869565216,1,informed,informed_c1,1
1,1,0,1,0,0,24,24,0,1,0.4583333333333333,1,informed,informed_c1,1
1,0,1,1,0,1,25,25,1,1,0.48,1,informed,informed_c1,1
0,1,0,1,0,0,26,26,1,0,0.46153846153846156,1,informed,informed_c1,1
1,0,1,1,1,1,27,27,0,0,0.4444444444444444,1,informed,informed_c1,1
1,0,1,0,1,1,28,28,1,1,0.4642857142857143,1,informed,informed_c1,1
0,0,1,1,0,0,29,29,1,0,0.4482758620689655,1,informed,informed_c1,1
1,0,1,0,0,1,30,30,1,1,0.4666666666666667,1,informed,informed_c1,1
1,1,1,1,1,1,31,31,1,1,0.4838709677419355,1,informed,informed_c1,1
0,1,0,0,1,0,32,32,1,0,0.46875,1,informed,informed_c1,1
0,0,0,1,1,0,33,33,0,1,0.48484848484848486,1,informed,informed_c1,1
0,1,0,0,1,0,34,34,1,0,0.47058823529411764,1,informed,informed_c1,1
1,0,1,1,0,1,35,35,0,0,0.45714285714285713,1,informed,informed_c1,1
0,1,0,1,1,0,36,36,0,1,0.4722222222222222,1,informed,informed_c1,1
1,1,0,1,1,0,37,37,0,1,0.4864864864864865,1,informed,informed_c1,1
0,0,1,1,0,0,38,38,0,1,0.5,1,informed,informed_c1,1
1,0,1,0,1,1,39,39,1,1,0.5128205128205128,1,informed,informed_c1,1
1,1,1,1,0,1,40,40,1,1,0.525,1,informed,informed_c1,1
1,1,1,0,0,1,41,41,1,1,0.5365853658536586,1,informed,informed_c1,1
0,0,1,1,1,0,42,42,0,1,0.5476190476190477,1,informed,informed_c1,1
1,0,0,1,1,0,43,43,0,1,0.5581395348837209,1,informed,informed_c1,1
1,1,0,1,1,0,44,44,1,0,0.5454545454545454,1,informed,informed_c1,1
0,0,1,0,1,0,45,45,0,1,0.5555555555555556,1,informed,informed_c1,1
1,1,1,1,0,1,46,46,0,0,0.5434782608695652,1,informed,informed_c1,1
0,1,1,1,0,0,47,47,1,0,0.5319148936170213,1,informed,informed_c1,1
1,0,1,1,0,1,48,48,1,1,0.5416666666666666,1,informed,informed_c1,1
0,0,0,1,0,0,49,49,1,0,0.5306122448979592,1,informed,informed_c1,1
1,0,1,0,1,1,50,50,1,1,0.54,1,informed,informed_c1,1
1,1,1,1,1,1,51,51,0,0,0.5294117647058824,1,informed,informed_c1,1
1,1,1,1,1,1,52,52,1,1,0.5384615384615384,1,informed,informed_c1,1
1,1,1,1,1,1,53,53,1,1,0.5471698113207547,1,informed,informed_c1,1
1,0,1,1,1,1,54,54,0,0,0.5370370370370371,1,informed,informed_c1,1
1,1,1,0,1,1,55,55,1,1,0.5454545454545454,1,informed,informed_c1,1
0,0,1,0,0,0,56,56,1,0,0.5357142857142857,1,informed,informed_c1,1
1,1,1,1,1,1,57,57,0,0,0.5263157894736842,1,informed,informed_c1,1
1,0,1,0,1,1,58,58,1,1,0.5344827586206896,1,informed,informed_c1,1
1,0,1,1,1,1,59,59,1,1,0.5423728813559322,1,informed,informed_c1,1
1,1,0,1,0,0,60,60,0,1,0.55,1,informed,informed_c1,1
0,1,0,1,0,0,61,61,0,1,0.5573770491803278,1,informed,informed_c1,1
0,0,1,1,1,0,62,62,0,1,0.5645161290322581,1,informed,informed_c1,1
1,0,1,0,0,1,63,63,1,1,0.5714285714285714,1,informed,informed_c1,1
0,1,1,0,0,0,64,64,1,0,0.5625,1,informed,informed_c1,1
1,1,1,1,0,1,65,65,1,1,0.5692307692307692,1,informed,informed_c1,1
1,1,1,1,0,1,66,66,0,0,0.5606060606060606,1,informed,informed_c1,1
1,0,1,0,0,1,67,67,0,0,0.5522388059701493,1,informed,informed_c1,1
1,0,1,0,1,1,68,68,1,1,0.5588235294117647,1,informed,informed_c1,1
1,1,1,1,1,1,69,69,1,1,0.5652173913043478,1,informed,informed_c1,1
1,0,1,0,1,1,70,70,0,0,0.5571428571428572,1,informed,informed_c1,1
0,0,1,1,1,0,71,71,0,1,0.5633802816901409,1,informed,informed_c1,1
1,1,1,0,0,1,72,72,0,0,0.5555555555555556,1,informed,informed_c1,1
0,0,1,1,0,0,73,73,0,1,0.5616438356164384,1,informed,informed_c1,1
1,0,0,1,1,0,74,74,1,0,0.5540540540540541,1,informed,informed_c1,1
1,0,1,1,0,1,75,75,0,0,0.5466666666666666,1,informed,informed_c1,1
0,0,1,1,1,0,76,76,1,0,0.5394736842105263,1,informed,informed_c1,1
1,1,0,1,1,0,77,77,0,1,0.5454545454545454,1,informed,informed_c1,1
1,1,1,1,1,1,78,78,1,1,0.5512820512820513,1,informed,informed_c1,1
1,0,1,1,0,1,79,79,1,1,0.5569620253164557,1,informed,informed_c1,1
0,1,0,0,1,0,80,80,0,1,0.5625,1,informed,informed_c1,1
1,0,1,1,1,1,81,81,1,1,0.5679012345679012,1,informed,informed_c1,1
0,0,0,1,1,0,82,82,1,0,0.5609756097560976,1,informed,informed_c1,1
1,1,1,0,1,1,83,83,1,1,0.5662650602409639,1,informed,informed_c1,1
1,0,1,0,1,1,84,84,1,1,0.5714285714285714,1,informed,informed_c1,1
1,1,1,1,1,1,85,85,0,0,0.5647058823529412,1,informed,informed_c1,1
1,0,1,1,1,1,86,86,1,1,0.5697674418604651,1,informed,informed_c1,1
0,0,1,0,0,0,87,87,1,0,0.5632183908045977,1,informed,informed_c1,1
0,0,1,0,1,0,88,88,1,0,0.5568181818181818,1,informed,informed_c1,1
0,1,0,1,0,0,89,89,1,0,0.550561797752809,1,informed,informed_c1,1
0,1,1,1,0,0,90,90,0,1,0.5555555555555556,1,informed,informed_c1,1
0,1,0,1,1,0,91,91,0,1,0.5604395604395604,1,informed,informed_c1,1
0,1,1,0,0,0,92,92,1,0,0.5543478260869565,1,informed,informed_c1,1
0,0,0,1,0,0,93,93,1,0,0.5483870967741935,1,informed,informed_c1,1
1,1,0,1,0,0,94,94,0,1,0.5531914893617021,1,informed,informed_c1,1
1,1,1,1,1,1,95,95,0,0,0.5473684210526316,1,informed,informed_c1,1
1,1,0,1,1,0,96,96,0,1,0.5520833333333334,1,informed,informed_c1,1
1,1,1,1,1,1,1,1,1,1,1,1,informed,informed_c1,2
0,1,0,1,1,0,2,2,1,0,0.5,1,informed,informed_c1,2
1,0,0,1,1,0,3,3,0,1,0.6666666666666666,1,informed,informed_c1,2
1,0,1,1,0,1,4,4,1,1,0.75,1,informed,informed_c1,2
1,1,1,1,0,1,5,5,1,1,0.8,1,informed,informed_c1,2
0,0,0,1,0,0,6,6,1,0,0.6666666666666666,1,informed,informed_c1,2
1,1,1,1,1,1,7,7,1,1,0.7142857142857143,1,informed,informed_c1,2
0,0,1,1,1,0,8,8,0,1,0.75,1,informed,informed_c1,2
1,1,1,0,0,1,9,9,0,0,0.6666666666666666,1,informed,informed_c1,2
1,1,1,0,1,1,10,10,0,0,0.6,1,informed,informed_c1,2
0,0,1,0,1,0,11,11,0,1,0.6363636363636364,1,informed,informed_c1,2
1,1,1,1,0,1,12,12,1,1,0.6666666666666666,1,informed,informed_c1,2
1,1,0,1,0,0,13,13,1,0,0.6153846153846154,1,informed,informed_c1,2
0,0,0,1,1,0,14,14,0,1,0.6428571428571429,1,informed,informed_c1,2
1,0,1,0,1,1,15,15,1,1,0.6666666666666666,1,informed,informed_c1,2
1,1,1,1,1,1,16,16,1,1,0.6875,1,informed,informed_c1,2
1,0,1,0,0,1,17,17,1,1,0.7058823529411765,1,informed,informed_c1,2
1,1,0,1,1,0,18,18,0,1,0.7222222222222222,1,informed,informed_c1,2
0,1,1,1,0,0,19,19,1,0,0.6842105263157895,1,informed,informed_c1,2
1,0,1,1,0,1,20,20,0,0,0.65,1,informed,informed_c1,2
1,0,1,1,1,1,21,21,1,1,0.6666666666666666,1,informed,informed_c1,2
1,0,1,0,1,1,22,22,1,1,0.6818181818181818,1,informed,informed_c1,2
0,1,0,1,0,0,23,23,1,0,0.6521739130434783,1,informed,informed_c1,2
1,1,1,1,1,1,24,24,1,1,0.6666666666666666,1,informed,informed_c1,2
0,0,1,1,0,0,25,25,0,1,0.68,1,informed,informed_c1,2
0,0,1,1,1,0,26,26,1,0,0.6538461538461539,1,informed,informed_c1,2
1,0,1,1,1,1,27,27,0,0,0.6296296296296297,1,informed,informed_c1,2
0,0,1,0,0,0,28,28,1,0,0.6071428571428571,1,informed,informed_c1,2
1,1,0,1,1,0,29,29,1,0,0.5862068965517241,1,informed,informed_c1,2
0,1,0,0,1,0,30,30,1,0,0.5666666666666667,1,informed,informed_c1,2
1,0,1,0,1,1,31,31,0,0,0.5483870967741935,1,informed,informed_c1,2
0,1,1,0,0,0,32,32,1,0,0.53125,1,informed,informed_c1,2
0,0,1,0,0,0,33,33,0,1,0.5454545454545454,1,informed,informed_c1,2
1,1,0,1,1,0,34,34,1,0,0.5294117647058824,1,informed,informed_c1,2
1,1,1,1,1,1,35,35,0,0,0.5142857142857142,1,informed,informed_c1,2
1,1,1,1,0,1,36,36,1,1,0.5277777777777778,1,informed,informed_c1,2
0,1,1,0,0,0,37,37,1,0,0.5135135135135135,1,informed,informed_c1,2
0,1,0,0,1,0,38,38,0,1,0.5263157894736842,1,informed,informed_c1,2
1,0,1,1,0,1,39,39,0,0,0.5128205128205128,1,informed,informed_c1,2
1,1,1,1,0,1,40,40,0,0,0.5,1,informed,informed_c1,2
1,0,1,0,0,1,41,41,0,0,0.4878048780487805,1,informed,informed_c1,2
